,Instruction,Number of memory acess,Number of micro instruction
151,"SUB -(R1),@X(R2)",6,8
152,"SUB X(R1),R2",3,5
153,"SUB X(R1),(R2)+",5,7
154,"SUB X(R1),-(R2)",5,7
155,"SUB X(R1),X(R2)",6,8
156,"SUB X(R1),@R2",5,7
157,"SUB X(R1),@(R2)+",6,8
158,"SUB X(R1),@-(R2)",6,8
159,"SUB X(R1),@X(R2)",7,9
160,"SUB @R1,R2",2,4
161,"SUB @R1,(R2)+",4,6
162,"SUB @R1,-(R2)",4,6
163,"SUB @R1,X(R2)",5,7
164,"SUB @R1,@R2",4,6
165,"SUB @R1,@(R2)+",5,7
166,"SUB @R1,@-(R2)",5,7
167,"SUB @R1,@X(R2)",6,8
168,"SUB @(R1)+,R2",3,5
169,"SUB @(R1)+,(R2)+",5,7
170,"SUB @(R1)+,-(R2)",5,7
171,"SUB @(R1)+,X(R2)",6,8
172,"SUB @(R1)+,@R2",5,7
173,"SUB @(R1)+,@(R2)+",6,8
174,"SUB @(R1)+,@-(R2)",6,8
175,"SUB @(R1)+,@X(R2)",7,9
176,"SUB @-(R1),R2",3,5
177,"SUB @-(R1),(R2)+",5,7
178,"SUB @-(R1),-(R2)",5,7
179,"SUB @-(R1),X(R2)",6,8
180,"SUB @-(R1),@R2",5,7
181,"SUB @-(R1),@(R2)+",6,8
182,"SUB @-(R1),@-(R2)",6,8
183,"SUB @-(R1),@X(R2)",7,9
184,"SUB @X(R1),R2",4,6
185,"SUB @X(R1),(R2)+",6,8
186,"SUB @X(R1),-(R2)",6,8
187,"SUB @X(R1),X(R2)",7,9
188,"SUB @X(R1),@R2",6,8
189,"SUB @X(R1),@(R2)+",7,9
190,"SUB @X(R1),@-(R2)",7,9
191,"SUB @X(R1),@X(R2)",8,10
192,"SBC R1,R2",1,3
193,"SBC R1,(R2)+",3,5
194,"SBC R1,-(R2)",3,5
195,"SBC R1,X(R2)",4,6
196,"SBC R1,@R2",3,5
197,"SBC R1,@(R2)+",4,6
198,"SBC R1,@-(R2)",4,6
199,"SBC R1,@X(R2)",5,7
200,"SBC (R1)+,R2",2,4
201,"SBC (R1)+,(R2)+",4,6
202,"SBC (R1)+,-(R2)",4,6
203,"SBC (R1)+,X(R2)",5,7
204,"SBC (R1)+,@R2",4,6
205,"SBC (R1)+,@(R2)+",5,7
206,"SBC (R1)+,@-(R2)",5,7
207,"SBC (R1)+,@X(R2)",6,8
208,"SBC -(R1),R2",2,4
209,"SBC -(R1),(R2)+",4,6
210,"SBC -(R1),-(R2)",4,6
211,"SBC -(R1),X(R2)",5,7
212,"SBC -(R1),@R2",4,6
213,"SBC -(R1),@(R2)+",5,7
214,"SBC -(R1),@-(R2)",5,7
215,"SBC -(R1),@X(R2)",6,8
216,"SBC X(R1),R2",3,5
217,"SBC X(R1),(R2)+",5,7
218,"SBC X(R1),-(R2)",5,7
219,"SBC X(R1),X(R2)",6,8
220,"SBC X(R1),@R2",5,7
221,"SBC X(R1),@(R2)+",6,8
222,"SBC X(R1),@-(R2)",6,8
223,"SBC X(R1),@X(R2)",7,9
224,"SBC @R1,R2",2,4
225,"SBC @R1,(R2)+",4,6
226,"SBC @R1,-(R2)",4,6
227,"SBC @R1,X(R2)",5,7
228,"SBC @R1,@R2",4,6
229,"SBC @R1,@(R2)+",5,7
230,"SBC @R1,@-(R2)",5,7
231,"SBC @R1,@X(R2)",6,8
232,"SBC @(R1)+,R2",3,5
233,"SBC @(R1)+,(R2)+",5,7
234,"SBC @(R1)+,-(R2)",5,7
235,"SBC @(R1)+,X(R2)",6,8
236,"SBC @(R1)+,@R2",5,7
237,"SBC @(R1)+,@(R2)+",6,8
238,"SBC @(R1)+,@-(R2)",6,8
239,"SBC @(R1)+,@X(R2)",7,9
240,"SBC @-(R1),R2",3,5
241,"SBC @-(R1),(R2)+",5,7
242,"SBC @-(R1),-(R2)",5,7
243,"SBC @-(R1),X(R2)",6,8
244,"SBC @-(R1),@R2",5,7
245,"SBC @-(R1),@(R2)+",6,8
246,"SBC @-(R1),@-(R2)",6,8
247,"SBC @-(R1),@X(R2)",7,9
248,"SBC @X(R1),R2",4,6
249,"SBC @X(R1),(R2)+",6,8
250,"SBC @X(R1),-(R2)",6,8
251,"SBC @X(R1),X(R2)",7,9
252,"SBC @X(R1),@R2",6,8
253,"SBC @X(R1),@(R2)+",7,9
254,"SBC @X(R1),@-(R2)",7,9
255,"SBC @X(R1),@X(R2)",8,10
256,"AND R1,R2",1,3
257,"AND R1,(R2)+",3,5
258,"AND R1,-(R2)",3,5
259,"AND R1,X(R2)",4,6
260,"AND R1,@R2",3,5
261,"AND R1,@(R2)+",4,6
262,"AND R1,@-(R2)",4,6
263,"AND R1,@X(R2)",5,7
264,"AND (R1)+,R2",2,4
265,"AND (R1)+,(R2)+",4,6
266,"AND (R1)+,-(R2)",4,6
267,"AND (R1)+,X(R2)",5,7
268,"AND (R1)+,@R2",4,6
269,"AND (R1)+,@(R2)+",5,7
270,"AND (R1)+,@-(R2)",5,7
271,"AND (R1)+,@X(R2)",6,8
272,"AND -(R1),R2",2,4
273,"AND -(R1),(R2)+",4,6
274,"AND -(R1),-(R2)",4,6
275,"AND -(R1),X(R2)",5,7
276,"AND -(R1),@R2",4,6
277,"AND -(R1),@(R2)+",5,7
278,"AND -(R1),@-(R2)",5,7
279,"AND -(R1),@X(R2)",6,8
280,"AND X(R1),R2",3,5
281,"AND X(R1),(R2)+",5,7
282,"AND X(R1),-(R2)",5,7
283,"AND X(R1),X(R2)",6,8
284,"AND X(R1),@R2",5,7
285,"AND X(R1),@(R2)+",6,8
286,"AND X(R1),@-(R2)",6,8
287,"AND X(R1),@X(R2)",7,9
288,"AND @R1,R2",2,4
289,"AND @R1,(R2)+",4,6
290,"AND @R1,-(R2)",4,6
291,"AND @R1,X(R2)",5,7
292,"AND @R1,@R2",4,6
293,"AND @R1,@(R2)+",5,7
294,"AND @R1,@-(R2)",5,7
295,"AND @R1,@X(R2)",6,8
296,"AND @(R1)+,R2",3,5
297,"AND @(R1)+,(R2)+",5,7
298,"AND @(R1)+,-(R2)",5,7
299,"AND @(R1)+,X(R2)",6,8
300,"AND @(R1)+,@R2",5,7
301,"AND @(R1)+,@(R2)+",6,8
302,"AND @(R1)+,@-(R2)",6,8
303,"AND @(R1)+,@X(R2)",7,9
304,"AND @-(R1),R2",3,5
305,"AND @-(R1),(R2)+",5,7
306,"AND @-(R1),-(R2)",5,7
307,"AND @-(R1),X(R2)",6,8
308,"AND @-(R1),@R2",5,7
309,"AND @-(R1),@(R2)+",6,8
310,"AND @-(R1),@-(R2)",6,8
311,"AND @-(R1),@X(R2)",7,9
312,"AND @X(R1),R2",4,6
313,"AND @X(R1),(R2)+",6,8
314,"AND @X(R1),-(R2)",6,8
315,"AND @X(R1),X(R2)",7,9
316,"AND @X(R1),@R2",6,8
317,"AND @X(R1),@(R2)+",7,9
318,"AND @X(R1),@-(R2)",7,9
319,"AND @X(R1),@X(R2)",8,10
320,"OR R1,R2",1,3
321,"OR R1,(R2)+",3,5
322,"OR R1,-(R2)",3,5
323,"OR R1,X(R2)",4,6
324,"OR R1,@R2",3,5
325,"OR R1,@(R2)+",4,6
326,"OR R1,@-(R2)",4,6
327,"OR R1,@X(R2)",5,7
328,"OR (R1)+,R2",2,4
329,"OR (R1)+,(R2)+",4,6
330,"OR (R1)+,-(R2)",4,6
331,"OR (R1)+,X(R2)",5,7
332,"OR (R1)+,@R2",4,6
333,"OR (R1)+,@(R2)+",5,7
334,"OR (R1)+,@-(R2)",5,7
335,"OR (R1)+,@X(R2)",6,8
336,"OR -(R1),R2",2,4
337,"OR -(R1),(R2)+",4,6
338,"OR -(R1),-(R2)",4,6
339,"OR -(R1),X(R2)",5,7
340,"OR -(R1),@R2",4,6
341,"OR -(R1),@(R2)+",5,7
342,"OR -(R1),@-(R2)",5,7
343,"OR -(R1),@X(R2)",6,8
344,"OR X(R1),R2",3,5
345,"OR X(R1),(R2)+",5,7
346,"OR X(R1),-(R2)",5,7
347,"OR X(R1),X(R2)",6,8
348,"OR X(R1),@R2",5,7
349,"OR X(R1),@(R2)+",6,8
350,"OR X(R1),@-(R2)",6,8
351,"OR X(R1),@X(R2)",7,9
352,"OR @R1,R2",2,4
353,"OR @R1,(R2)+",4,6
354,"OR @R1,-(R2)",4,6
355,"OR @R1,X(R2)",5,7
356,"OR @R1,@R2",4,6
357,"OR @R1,@(R2)+",5,7
358,"OR @R1,@-(R2)",5,7
359,"OR @R1,@X(R2)",6,8
360,"OR @(R1)+,R2",3,5
361,"OR @(R1)+,(R2)+",5,7
362,"OR @(R1)+,-(R2)",5,7
363,"OR @(R1)+,X(R2)",6,8
364,"OR @(R1)+,@R2",5,7
365,"OR @(R1)+,@(R2)+",6,8
366,"OR @(R1)+,@-(R2)",6,8
367,"OR @(R1)+,@X(R2)",7,9
368,"OR @-(R1),R2",3,5
369,"OR @-(R1),(R2)+",5,7
370,"OR @-(R1),-(R2)",5,7
371,"OR @-(R1),X(R2)",6,8
372,"OR @-(R1),@R2",5,7
373,"OR @-(R1),@(R2)+",6,8
374,"OR @-(R1),@-(R2)",6,8
375,"OR @-(R1),@X(R2)",7,9
376,"OR @X(R1),R2",4,6
377,"OR @X(R1),(R2)+",6,8
378,"OR @X(R1),-(R2)",6,8
379,"OR @X(R1),X(R2)",7,9
380,"OR @X(R1),@R2",6,8
381,"OR @X(R1),@(R2)+",7,9
382,"OR @X(R1),@-(R2)",7,9
383,"OR @X(R1),@X(R2)",8,10
384,"XNOR R1,R2",1,3
385,"XNOR R1,(R2)+",3,5
386,"XNOR R1,-(R2)",3,5
387,"XNOR R1,X(R2)",4,6
388,"XNOR R1,@R2",3,5
389,"XNOR R1,@(R2)+",4,6
390,"XNOR R1,@-(R2)",4,6
391,"XNOR R1,@X(R2)",5,7
392,"XNOR (R1)+,R2",2,4
393,"XNOR (R1)+,(R2)+",4,6
394,"XNOR (R1)+,-(R2)",4,6
395,"XNOR (R1)+,X(R2)",5,7
396,"XNOR (R1)+,@R2",4,6
397,"XNOR (R1)+,@(R2)+",5,7
398,"XNOR (R1)+,@-(R2)",5,7
399,"XNOR (R1)+,@X(R2)",6,8
400,"XNOR -(R1),R2",2,4
401,"XNOR -(R1),(R2)+",4,6
402,"XNOR -(R1),-(R2)",4,6
403,"XNOR -(R1),X(R2)",5,7
404,"XNOR -(R1),@R2",4,6
405,"XNOR -(R1),@(R2)+",5,7
406,"XNOR -(R1),@-(R2)",5,7
407,"XNOR -(R1),@X(R2)",6,8
408,"XNOR X(R1),R2",3,5
409,"XNOR X(R1),(R2)+",5,7
410,"XNOR X(R1),-(R2)",5,7
411,"XNOR X(R1),X(R2)",6,8
412,"XNOR X(R1),@R2",5,7
413,"XNOR X(R1),@(R2)+",6,8
414,"XNOR X(R1),@-(R2)",6,8
415,"XNOR X(R1),@X(R2)",7,9
416,"XNOR @R1,R2",2,4
417,"XNOR @R1,(R2)+",4,6
418,"XNOR @R1,-(R2)",4,6
419,"XNOR @R1,X(R2)",5,7
420,"XNOR @R1,@R2",4,6
421,"XNOR @R1,@(R2)+",5,7
422,"XNOR @R1,@-(R2)",5,7
423,"XNOR @R1,@X(R2)",6,8
424,"XNOR @(R1)+,R2",3,5
425,"XNOR @(R1)+,(R2)+",5,7
426,"XNOR @(R1)+,-(R2)",5,7
427,"XNOR @(R1)+,X(R2)",6,8
428,"XNOR @(R1)+,@R2",5,7
429,"XNOR @(R1)+,@(R2)+",6,8
430,"XNOR @(R1)+,@-(R2)",6,8
431,"XNOR @(R1)+,@X(R2)",7,9
432,"XNOR @-(R1),R2",3,5
433,"XNOR @-(R1),(R2)+",5,7
434,"XNOR @-(R1),-(R2)",5,7
435,"XNOR @-(R1),X(R2)",6,8
436,"XNOR @-(R1),@R2",5,7
437,"XNOR @-(R1),@(R2)+",6,8
438,"XNOR @-(R1),@-(R2)",6,8
439,"XNOR @-(R1),@X(R2)",7,9
440,"XNOR @X(R1),R2",4,6
441,"XNOR @X(R1),(R2)+",6,8
442,"XNOR @X(R1),-(R2)",6,8
443,"XNOR @X(R1),X(R2)",7,9
444,"XNOR @X(R1),@R2",6,8
445,"XNOR @X(R1),@(R2)+",7,9
446,"XNOR @X(R1),@-(R2)",7,9
447,"XNOR @X(R1),@X(R2)",8,10
448,"CMP R1,R2",1,3
449,"CMP R1,(R2)+",2,4
450,"CMP R1,-(R2)",2,4
451,"CMP R1,X(R2)",3,5
452,"CMP R1,@R2",2,4
453,"CMP R1,@(R2)+",3,5
454,"CMP R1,@-(R2)",3,5
455,"CMP R1,@X(R2)",4,6
456,"CMP (R1)+,R2",2,4
457,"CMP (R1)+,(R2)+",3,5
458,"CMP (R1)+,-(R2)",3,5
459,"CMP (R1)+,X(R2)",4,6
460,"CMP (R1)+,@R2",3,5
461,"CMP (R1)+,@(R2)+",4,6
462,"CMP (R1)+,@-(R2)",4,6
463,"CMP (R1)+,@X(R2)",5,7
464,"CMP -(R1),R2",2,4
465,"CMP -(R1),(R2)+",3,5
466,"CMP -(R1),-(R2)",3,5
467,"CMP -(R1),X(R2)",4,6
468,"CMP -(R1),@R2",3,5
