,Instruction,Number of memory acess,Number of micro instruction,,,,
576,LSL @X(R1),5,7,,,,
577,ROL R1,1,3,,,,
578,ROL (R1)+,3,5,,,,
579,ROL -(R1),3,5,,,,
580,ROL X(R1),4,6,,,,
581,ROL @R1,3,5,,,,
582,ROL @(R1)+,4,6,,,,
583,ROL @-(R1),4,6,,,,
584,ROL @X(R1),5,7,,,,
585,RLC R1,1,3,,,,
586,RLC (R1)+,3,5,,,,
587,RLC -(R1),3,5,,,,
588,RLC X(R1),4,6,,,,
589,RLC @R1,3,5,,,,
590,RLC @(R1)+,4,6,,,,
591,RLC @-(R1),4,6,,,,
592,RLC @X(R1),5,7,,,,
593,BR Address,1,3,,,,
594,BEQ Address,1,3,,,,
595,BNE Address,1,3,,,,
596,BLO Address,1,3,,,,
597,BLS Address,1,3,,,,
598,BHI Address,1,3,,,,
599,BHS Address,1,3,,,,
600,HLT,1,3,,,,
601,NOP,1,3,,,,
602,"MOV R1,R2",1,3,,,,
603,"MOV R1,(R2)+",2,5,,,,
604,"MOV R1,-(R2)",2,5,,,,
605,"MOV R1,X(R2)",3,6,,,,
606,"MOV R1,@R2",2,4,,,,
607,"MOV R1,@(R2)+",3,5,,,,
608,"MOV R1,@-(R2)",3,5,,,,
609,"MOV R1,@X(R2)",4,6,,,,
610,"MOV (R1)+,R2",2,4,,,,
611,"MOV (R1)+,(R2)+",3,6,,,,
612,"MOV (R1)+,-(R2)",3,6,,,,
613,"MOV (R1)+,X(R2)",4,7,,,,
614,"MOV (R1)+,@R2",3,5,,,,
615,"MOV (R1)+,@(R2)+",4,6,,,,
616,"MOV (R1)+,@-(R2)",4,6,,,,
617,"MOV (R1)+,@X(R2)",5,7,,,,
618,"MOV -(R1),R2",2,4,,,,
619,"MOV -(R1),(R2)+",3,6,,,,
620,"MOV -(R1),-(R2)",3,6,,,,
621,"MOV -(R1),X(R2)",4,7,,,,
622,"MOV -(R1),@R2",3,5,,,,
623,"MOV -(R1),@(R2)+",4,6,,,,
624,"MOV -(R1),@-(R2)",4,6,,,,
625,"MOV -(R1),@X(R2)",5,7,,,,
626,"MOV X(R1),R2",3,5,,,,
627,"MOV X(R1),(R2)+",4,7,,,,
628,"MOV X(R1),-(R2)",4,7,,,,
629,"MOV X(R1),X(R2)",5,8,,,,
630,"MOV X(R1),@R2",4,6,,,,
631,"MOV X(R1),@(R2)+",5,7,,,,
632,"MOV X(R1),@-(R2)",5,7,,,,
633,"MOV X(R1),@X(R2)",6,8,,,,
634,"MOV @R1,R2",2,4,,,,
635,"MOV @R1,(R2)+",3,6,,,,
636,"MOV @R1,-(R2)",3,6,,,,
637,"MOV @R1,X(R2)",4,7,,,,
638,"MOV @R1,@R2",3,5,,,,
639,"MOV @R1,@(R2)+",4,6,,,,
640,"MOV @R1,@-(R2)",4,6,,,,
641,"MOV @R1,@X(R2)",5,7,,,,
642,"MOV @(R1)+,R2",3,5,,,,
643,"MOV @(R1)+,(R2)+",4,7,,,,
644,"MOV @(R1)+,-(R2)",4,7,,,,
645,"MOV @(R1)+,X(R2)",5,8,,,,
646,"MOV @(R1)+,@R2",4,6,,,,
647,"MOV @(R1)+,@(R2)+",5,7,,,,
648,"MOV @(R1)+,@-(R2)",5,7,,,,
649,"MOV @(R1)+,@X(R2)",6,8,,,,
650,"MOV @-(R1),R2",3,5,,,,
651,"MOV @-(R1),(R2)+",4,7,,,,
652,"MOV @-(R1),-(R2)",4,7,,,,
653,"MOV @-(R1),X(R2)",5,8,,,,
654,"MOV @-(R1),@R2",4,6,,,,
655,"MOV @-(R1),@(R2)+",5,7,,,,
656,"MOV @-(R1),@-(R2)",5,7,,,,
657,"MOV @-(R1),@X(R2)",6,8,,,,
658,"MOV @X(R1),R2",4,6,,,,
659,"MOV @X(R1),(R2)+",5,8,,,,
660,"MOV @X(R1),-(R2)",5,8,,,,
661,"MOV @X(R1),X(R2)",6,9,,,,
662,"MOV @X(R1),@R2",5,7,,,,
663,"MOV @X(R1),@(R2)+",6,8,,,,
664,"MOV @X(R1),@-(R2)",6,8,,,,
665,"MOV @X(R1),@X(R2)",7,9,,,,
666,CLR R1,1,3,,,,
667,CLR (R1)+,2,5,,,,
668,CLR -(R1),2,5,,,,
669,CLR X(R1),3,6,,,,
670,CLR @R1,2,4,,,,
671,CLR @(R1)+,3,5,,,,
672,CLR @-(R1),3,5,,,,
673,CLR @X(R1),3,6,,,,
674,JSR @(R7)+,3,5,,,,
675,RTS,1,2,,,,
676,IRET,1,2,,,,
