,Instruction,Number of memory acess,Number of micro instruction,,,,
126,"ADC @X(R1),@(R2)+",7,9,,,,
127,"ADC @X(R1),@-(R2)",7,9,,,,
128,"ADC @X(R1),@X(R2)",8,10,,,,
129,"SUB R1,R2",1,3,,,,
130,"SUB R1,(R2)+",3,5,,,,
131,"SUB R1,-(R2)",3,5,,,,
132,"SUB R1,X(R2)",4,6,,,,
133,"SUB R1,@R2",3,5,,,,
134,"SUB R1,@(R2)+",4,6,,,,
135,"SUB R1,@-(R2)",4,6,,,,
136,"SUB R1,@X(R2)",5,7,,,,
137,"SUB (R1)+,R2",2,4,,,,
138,"SUB (R1)+,(R2)+",4,6,,,,
139,"SUB (R1)+,-(R2)",4,6,,,,
140,"SUB (R1)+,X(R2)",5,7,,,,
141,"SUB (R1)+,@R2",4,6,,,,
142,"SUB (R1)+,@(R2)+",5,7,,,,
143,"SUB (R1)+,@-(R2)",5,7,,,,
144,"SUB (R1)+,@X(R2)",6,8,,,,
145,"SUB -(R1),R2",2,4,,,,
146,"SUB -(R1),(R2)+",4,6,,,,
147,"SUB -(R1),-(R2)",4,6,,,,
148,"SUB -(R1),X(R2)",5,7,,,,
149,"SUB -(R1),@R2",4,6,,,,
150,"SUB -(R1),@(R2)+",5,7,,,,
151,"SUB -(R1),@-(R2)",5,7,,,,
152,"SUB -(R1),@X(R2)",6,8,,,,
153,"SUB X(R1),R2",3,5,,,,
154,"SUB X(R1),(R2)+",5,7,,,,
155,"SUB X(R1),-(R2)",5,7,,,,
156,"SUB X(R1),X(R2)",6,8,,,,
157,"SUB X(R1),@R2",5,7,,,,
158,"SUB X(R1),@(R2)+",6,8,,,,
159,"SUB X(R1),@-(R2)",6,8,,,,
160,"SUB X(R1),@X(R2)",7,9,,,,
161,"SUB @R1,R2",2,4,,,,
162,"SUB @R1,(R2)+",4,6,,,,
163,"SUB @R1,-(R2)",4,6,,,,
164,"SUB @R1,X(R2)",5,7,,,,
165,"SUB @R1,@R2",4,6,,,,
166,"SUB @R1,@(R2)+",5,7,,,,
167,"SUB @R1,@-(R2)",5,7,,,,
168,"SUB @R1,@X(R2)",6,8,,,,
169,"SUB @(R1)+,R2",3,5,,,,
170,"SUB @(R1)+,(R2)+",5,7,,,,
171,"SUB @(R1)+,-(R2)",5,7,,,,
172,"SUB @(R1)+,X(R2)",6,8,,,,
173,"SUB @(R1)+,@R2",5,7,,,,
174,"SUB @(R1)+,@(R2)+",6,8,,,,
175,"SUB @(R1)+,@-(R2)",6,8,,,,
176,"SUB @(R1)+,@X(R2)",7,9,,,,
177,"SUB @-(R1),R2",3,5,,,,
178,"SUB @-(R1),(R2)+",5,7,,,,
179,"SUB @-(R1),-(R2)",5,7,,,,
180,"SUB @-(R1),X(R2)",6,8,,,,
181,"SUB @-(R1),@R2",5,7,,,,
182,"SUB @-(R1),@(R2)+",6,8,,,,
183,"SUB @-(R1),@-(R2)",6,8,,,,
184,"SUB @-(R1),@X(R2)",7,9,,,,
185,"SUB @X(R1),R2",4,6,,,,
186,"SUB @X(R1),(R2)+",6,8,,,,
187,"SUB @X(R1),-(R2)",6,8,,,,
188,"SUB @X(R1),X(R2)",7,9,,,,
189,"SUB @X(R1),@R2",6,8,,,,
190,"SUB @X(R1),@(R2)+",7,9,,,,
191,"SUB @X(R1),@-(R2)",7,9,,,,
192,"SUB @X(R1),@X(R2)",8,10,,,,
193,"SBC R1,R2",1,3,,,,
194,"SBC R1,(R2)+",3,5,,,,
195,"SBC R1,-(R2)",3,5,,,,
196,"SBC R1,X(R2)",4,6,,,,
197,"SBC R1,@R2",3,5,,,,
198,"SBC R1,@(R2)+",4,6,,,,
199,"SBC R1,@-(R2)",4,6,,,,
200,"SBC R1,@X(R2)",5,7,,,,
201,"SBC (R1)+,R2",2,4,,,,
202,"SBC (R1)+,(R2)+",4,6,,,,
203,"SBC (R1)+,-(R2)",4,6,,,,
204,"SBC (R1)+,X(R2)",5,7,,,,
205,"SBC (R1)+,@R2",4,6,,,,
206,"SBC (R1)+,@(R2)+",5,7,,,,
207,"SBC (R1)+,@-(R2)",5,7,,,,
208,"SBC (R1)+,@X(R2)",6,8,,,,
209,"SBC -(R1),R2",2,4,,,,
210,"SBC -(R1),(R2)+",4,6,,,,
211,"SBC -(R1),-(R2)",4,6,,,,
212,"SBC -(R1),X(R2)",5,7,,,,
213,"SBC -(R1),@R2",4,6,,,,
214,"SBC -(R1),@(R2)+",5,7,,,,
215,"SBC -(R1),@-(R2)",5,7,,,,
216,"SBC -(R1),@X(R2)",6,8,,,,
217,"SBC X(R1),R2",3,5,,,,
218,"SBC X(R1),(R2)+",5,7,,,,
219,"SBC X(R1),-(R2)",5,7,,,,
220,"SBC X(R1),X(R2)",6,8,,,,
221,"SBC X(R1),@R2",5,7,,,,
222,"SBC X(R1),@(R2)+",6,8,,,,
223,"SBC X(R1),@-(R2)",6,8,,,,
224,"SBC X(R1),@X(R2)",7,9,,,,
225,"SBC @R1,R2",2,4,,,,
226,"SBC @R1,(R2)+",4,6,,,,
227,"SBC @R1,-(R2)",4,6,,,,
228,"SBC @R1,X(R2)",5,7,,,,
229,"SBC @R1,@R2",4,6,,,,
230,"SBC @R1,@(R2)+",5,7,,,,
231,"SBC @R1,@-(R2)",5,7,,,,
232,"SBC @R1,@X(R2)",6,8,,,,
233,"SBC @(R1)+,R2",3,5,,,,
234,"SBC @(R1)+,(R2)+",5,7,,,,
235,"SBC @(R1)+,-(R2)",5,7,,,,
236,"SBC @(R1)+,X(R2)",6,8,,,,
237,"SBC @(R1)+,@R2",5,7,,,,
238,"SBC @(R1)+,@(R2)+",6,8,,,,
239,"SBC @(R1)+,@-(R2)",6,8,,,,
240,"SBC @(R1)+,@X(R2)",7,9,,,,
241,"SBC @-(R1),R2",3,5,,,,
242,"SBC @-(R1),(R2)+",5,7,,,,
243,"SBC @-(R1),-(R2)",5,7,,,,
244,"SBC @-(R1),X(R2)",6,8,,,,
245,"SBC @-(R1),@R2",5,7,,,,
246,"SBC @-(R1),@(R2)+",6,8,,,,
247,"SBC @-(R1),@-(R2)",6,8,,,,
248,"SBC @-(R1),@X(R2)",7,9,,,,
249,"SBC @X(R1),R2",4,6,,,,
250,"SBC @X(R1),(R2)+",6,8,,,,
251,"SBC @X(R1),-(R2)",6,8,,,,
252,"SBC @X(R1),X(R2)",7,9,,,,
253,"SBC @X(R1),@R2",6,8,,,,
254,"SBC @X(R1),@(R2)+",7,9,,,,
255,"SBC @X(R1),@-(R2)",7,9,,,,
256,"SBC @X(R1),@X(R2)",8,10,,,,
257,"AND R1,R2",1,3,,,,
258,"AND R1,(R2)+",3,5,,,,
259,"AND R1,-(R2)",3,5,,,,
260,"AND R1,X(R2)",4,6,,,,
261,"AND R1,@R2",3,5,,,,
262,"AND R1,@(R2)+",4,6,,,,
263,"AND R1,@-(R2)",4,6,,,,
264,"AND R1,@X(R2)",5,7,,,,
265,"AND (R1)+,R2",2,4,,,,
266,"AND (R1)+,(R2)+",4,6,,,,
267,"AND (R1)+,-(R2)",4,6,,,,
268,"AND (R1)+,X(R2)",5,7,,,,
269,"AND (R1)+,@R2",4,6,,,,
270,"AND (R1)+,@(R2)+",5,7,,,,
271,"AND (R1)+,@-(R2)",5,7,,,,
272,"AND (R1)+,@X(R2)",6,8,,,,
273,"AND -(R1),R2",2,4,,,,
274,"AND -(R1),(R2)+",4,6,,,,
275,"AND -(R1),-(R2)",4,6,,,,
276,"AND -(R1),X(R2)",5,7,,,,
277,"AND -(R1),@R2",4,6,,,,
278,"AND -(R1),@(R2)+",5,7,,,,
279,"AND -(R1),@-(R2)",5,7,,,,
280,"AND -(R1),@X(R2)",6,8,,,,
281,"AND X(R1),R2",3,5,,,,
282,"AND X(R1),(R2)+",5,7,,,,
283,"AND X(R1),-(R2)",5,7,,,,
284,"AND X(R1),X(R2)",6,8,,,,
285,"AND X(R1),@R2",5,7,,,,
286,"AND X(R1),@(R2)+",6,8,,,,
287,"AND X(R1),@-(R2)",6,8,,,,
288,"AND X(R1),@X(R2)",7,9,,,,
289,"AND @R1,R2",2,4,,,,
290,"AND @R1,(R2)+",4,6,,,,
291,"AND @R1,-(R2)",4,6,,,,
292,"AND @R1,X(R2)",5,7,,,,
293,"AND @R1,@R2",4,6,,,,
294,"AND @R1,@(R2)+",5,7,,,,
295,"AND @R1,@-(R2)",5,7,,,,
296,"AND @R1,@X(R2)",6,8,,,,
297,"AND @(R1)+,R2",3,5,,,,
298,"AND @(R1)+,(R2)+",5,7,,,,
299,"AND @(R1)+,-(R2)",5,7,,,,
300,"AND @(R1)+,X(R2)",6,8,,,,
301,"AND @(R1)+,@R2",5,7,,,,
302,"AND @(R1)+,@(R2)+",6,8,,,,
303,"AND @(R1)+,@-(R2)",6,8,,,,
304,"AND @(R1)+,@X(R2)",7,9,,,,
305,"AND @-(R1),R2",3,5,,,,
306,"AND @-(R1),(R2)+",5,7,,,,
307,"AND @-(R1),-(R2)",5,7,,,,
308,"AND @-(R1),X(R2)",6,8,,,,
309,"AND @-(R1),@R2",5,7,,,,
310,"AND @-(R1),@(R2)+",6,8,,,,
311,"AND @-(R1),@-(R2)",6,8,,,,
312,"AND @-(R1),@X(R2)",7,9,,,,
313,"AND @X(R1),R2",4,6,,,,
314,"AND @X(R1),(R2)+",6,8,,,,
315,"AND @X(R1),-(R2)",6,8,,,,
316,"AND @X(R1),X(R2)",7,9,,,,
317,"AND @X(R1),@R2",6,8,,,,
318,"AND @X(R1),@(R2)+",7,9,,,,
319,"AND @X(R1),@-(R2)",7,9,,,,
320,"AND @X(R1),@X(R2)",8,10,,,,
321,"OR R1,R2",1,3,,,,
322,"OR R1,(R2)+",3,5,,,,
323,"OR R1,-(R2)",3,5,,,,
324,"OR R1,X(R2)",4,6,,,,
325,"OR R1,@R2",3,5,,,,
326,"OR R1,@(R2)+",4,6,,,,
327,"OR R1,@-(R2)",4,6,,,,
328,"OR R1,@X(R2)",5,7,,,,
329,"OR (R1)+,R2",2,4,,,,
330,"OR (R1)+,(R2)+",4,6,,,,
331,"OR (R1)+,-(R2)",4,6,,,,
332,"OR (R1)+,X(R2)",5,7,,,,
333,"OR (R1)+,@R2",4,6,,,,
334,"OR (R1)+,@(R2)+",5,7,,,,
335,"OR (R1)+,@-(R2)",5,7,,,,
336,"OR (R1)+,@X(R2)",6,8,,,,
337,"OR -(R1),R2",2,4,,,,
338,"OR -(R1),(R2)+",4,6,,,,
339,"OR -(R1),-(R2)",4,6,,,,
340,"OR -(R1),X(R2)",5,7,,,,
341,"OR -(R1),@R2",4,6,,,,
342,"OR -(R1),@(R2)+",5,7,,,,
343,"OR -(R1),@-(R2)",5,7,,,,
344,"OR -(R1),@X(R2)",6,8,,,,
345,"OR X(R1),R2",3,5,,,,
346,"OR X(R1),(R2)+",5,7,,,,
347,"OR X(R1),-(R2)",5,7,,,,
348,"OR X(R1),X(R2)",6,8,,,,
349,"OR X(R1),@R2",5,7,,,,
350,"OR X(R1),@(R2)+",6,8,,,,
351,"OR X(R1),@-(R2)",6,8,,,,
352,"OR X(R1),@X(R2)",7,9,,,,
353,"OR @R1,R2",2,4,,,,
354,"OR @R1,(R2)+",4,6,,,,
355,"OR @R1,-(R2)",4,6,,,,
356,"OR @R1,X(R2)",5,7,,,,
357,"OR @R1,@R2",4,6,,,,
358,"OR @R1,@(R2)+",5,7,,,,
359,"OR @R1,@-(R2)",5,7,,,,
360,"OR @R1,@X(R2)",6,8,,,,
361,"OR @(R1)+,R2",3,5,,,,
362,"OR @(R1)+,(R2)+",5,7,,,,
363,"OR @(R1)+,-(R2)",5,7,,,,
364,"OR @(R1)+,X(R2)",6,8,,,,
365,"OR @(R1)+,@R2",5,7,,,,
366,"OR @(R1)+,@(R2)+",6,8,,,,
367,"OR @(R1)+,@-(R2)",6,8,,,,
368,"OR @(R1)+,@X(R2)",7,9,,,,
369,"OR @-(R1),R2",3,5,,,,
370,"OR @-(R1),(R2)+",5,7,,,,
